component,version,type,status
annotated-types,0.8.0,python-package,installed
cachebox,5.2.3,python-package,installed
certifi,2026.7.22,python-package,installed
charset-normalizer,3.5.1,python-package,installed
colorama,0.4.6,python-package,installed
contourpy,1.3.2,python-package,installed
cycler,0.12.1,python-package,installed
deepdiff,9.1.0,python-package,installed
et_xmlfile,2.0.0,python-package,installed
fonttools,4.65.0,python-package,installed
geojson,3.3.0,python-package,installed
geopandas,1.1.4,python-package,installed
highspy,1.15.1,python-package,installed
idna,3.20,python-package,installed
kiwisolver,1.5.1,python-package,installed
lxml,6.1.3,python-package,installed
matplotlib,3.10.9,python-package,installed
mypy_extensions,1.1.0,python-package,installed
networkx,3.4.2,python-package,installed
numpy,2.2.6,python-package,installed
openpyxl,3.1.5,python-package,installed
orderly-set,5.5.0,python-package,installed
osmnx,2.0.7,python-package,installed
packaging,26.3,python-package,installed
pandapower,3.5.5,python-package,installed
pandas,2.3.3,python-package,installed
pandera,0.33.1,python-package,installed
pillow,12.3.0,python-package,installed
pydantic,2.13.5,python-package,installed
pydantic_core,2.46.5,python-package,installed
pyogrio,0.13.0,python-package,installed
pyomo,6.10.1,python-package,installed
pyparsing,3.3.3,python-package,installed
pyproj,3.7.1,python-package,installed
python-dateutil,2.9.0.post0,python-package,installed
python-docx,1.2.0,python-package,installed
pytz,2026.4,python-package,installed
PyYAML,6.0.3,python-package,installed
requests,2.34.2,python-package,installed
scipy,1.15.3,python-package,installed
shapely,2.1.2,python-package,installed
six,1.17.0,python-package,installed
tqdm,4.70.1,python-package,installed
typeguard,4.6.0,python-package,installed
typing-inspect,0.9.0,python-package,installed
typing-inspection,0.4.4,python-package,installed
typing_extensions,4.16.0,python-package,installed
tzdata,2026.4,python-package,installed
urllib3,2.8.0,python-package,installed
python,3.10.12,runtime,installed
platform,Linux-6.8.0-1061-aws-x86_64-with-glibc2.35,runtime,installed
HiGHS,1.15.1,solver,installed
GLPK,not available,solver,informational
CBC,not available,solver,informational
