claim_id,location,text,value,unit,source_file,source_variable,code,raw_dependency,status,severity,note
Q001,Abstract; Results,Total modeled feeder clusters,238,count,analysis/scenario_results.csv,sum(clusters),scripts/p07_optimize.py,processed demand nodes and road graph,reproducible-derived,MINOR,Derived sum should be frozen explicitly in the corrected value registry.
Q002,Abstract; Results,Total modeled peak demand,88.7,MW,analysis/scenario_results.csv,sum(total_demand_kw)/1000,scripts/p07_optimize.py,OSM building footprints; modeled demand densities,reproducible-derived,MINOR,"The quantity is modeled, not observed."
Q003,Abstract; Results; Discussion; tables,Sano: LTP percentage,12.1956068486,%,analysis/scenario_results.csv,ltp_pct,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q004,Abstract; Results; Discussion; tables,Sano: NPC difference,1.62551355771,bn JPY,analysis/scenario_results.csv,delta_npc,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q005,Abstract; Results; Discussion; tables,Sano: Conductor upsizing distance,22.2366279362,km,analysis/scenario_results.csv,upsize_km,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q006,Abstract; Results; Discussion; tables,Sano: Peak-loss reduction,61.680184985,%,analysis/scenario_results.csv,derived loss reduction,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q007,Abstract; Results; Discussion; tables,Sano: Maximum voltage drop,29.1596043129,%,analysis/scenario_results.csv,max_vdrop,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-but-invalid-primary-model,CRITICAL,Voltage infeasibility invalidates primary scenario inclusion and the same-model argument.
Q008,Abstract; Results; Discussion; tables,Sano: Mean edge-set distance,0.0917163590378,fraction,analysis/scenario_results.csv,mean_tld,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q009,Abstract; Results; Discussion; tables,Sano: Cluster-level positive value fraction,0.828571428571,fraction,analysis/scenario_results.csv,p_ltp_pos,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q010,Abstract; Results; Discussion; tables,Sano: Monte Carlo probability of positive value,1,probability,analysis/sensitivity_mc.csv,p_ltp_pos,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
