city,param,level,value,delta_npc,ltp_pct
sano,r,lo,0.02,2020390831.446333,13.958792340207433
sano,r,hi,0.045,1186640856.776394,9.842909038217497
sano,ekwh,lo,15.0,691505826.3805637,5.853073145675104
sano,ekwh,hi,35.0,2559521289.032959,17.244012736446102
sano,cm,lo,0.7,1838365288.8893795,17.565482191766336
sano,cm,hi,1.3,1412661826.5241432,8.724669846822248
sano,omf,lo,0.005,1747291246.2080193,14.945933080317484
sano,omf,hi,0.02,1564624713.456131,11.059256550384768
sano,lf,lo,0.25,958365178.1880474,7.825269780961754
sano,lf,hi,0.45,2292661937.2254753,15.909876476708526
sano,h,lo,30.0,1298273498.7034779,10.487227320211236
sano,h,hi,50.0,1869010894.3215504,13.316871125104344
kudamatsu,r,lo,0.02,301554571.7922373,3.8443138354064526
kudamatsu,r,hi,0.045,58116982.57492447,0.8622614121897927
kudamatsu,ekwh,lo,15.0,-126444001.28834343,-1.8591407453329336
kudamatsu,ekwh,hi,35.0,498961302.05106544,6.3632536878558845
kudamatsu,cm,lo,0.7,364908044.0192299,6.616758448787657
kudamatsu,cm,hi,1.3,7609256.743492126,0.08336543496411565
kudamatsu,omf,lo,0.005,288468343.90133286,4.587749479039308
kudamatsu,omf,hi,0.02,135153803.62137508,1.7243457843548133
kudamatsu,lf,lo,0.25,-37100386.52557087,-0.533834630238436
kudamatsu,lf,hi,0.45,409617687.28829193,5.3247525899484724
kudamatsu,h,lo,30.0,90711383.83946228,1.3169678552066726
kudamatsu,h,hi,50.0,257354790.0002041,3.3668857235153036
yasu,r,lo,0.02,781452415.132823,13.490658454023663
yasu,r,hi,0.045,454598390.7281494,9.368465093473747
yasu,ekwh,lo,15.0,259021220.38929844,5.417108268487166
yasu,ekwh,hi,35.0,994277061.1773338,16.814977754057633
yasu,cm,lo,0.7,714375338.8438354,17.141915001203536
yasu,cm,hi,1.3,538922942.7227983,8.256614556556636
yasu,omf,lo,0.005,676839447.2537289,14.486346966704257
yasu,omf,hi,0.02,601553987.548111,10.581778938404495
yasu,lf,lo,0.25,364057769.0733042,7.364843876594125
yasu,lf,hi,0.45,889240512.4933281,15.461285830237111
yasu,h,lo,30.0,498361604.3741083,10.010666949989071
yasu,h,hi,50.0,722107115.9825001,12.844646111116386
