city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,tld
kudamatsu,0,2,76.29974436089769,38.149872180448845,12,12,42143150.96733135,42143150.96733135,27790884.87915522,171.54867209355072,0.0017164160104794456,0.05675410917802961,42143150.96733135,0.05675410917802961,12,0.0017164160104794456,42143150.96733135,0.0017164160104794456,42143150.96733135,0,27790884.87915522,0.0017164160104794456,171.54867209355072,0.05675410917802961,0.0,True,0.0,0.0
kudamatsu,1,3,286.726394693595,143.3631973467975,12,12,41445603.61004109,41445603.61004109,25812685.71681912,159.33756615320448,1.11165809599793,0.9168796896074958,41445603.61004109,0.9168796896074958,12,1.11165809599793,41445603.6100411,1.11165809599793,41445603.6100411,0,25812685.716819122,1.11165809599793,159.33756615320445,0.9168796896074958,0.0,False,0.0,0.0
kudamatsu,2,3,223.0002557847925,111.50012789239625,12,12,55057169.2717581,55057169.2717581,36981520.89970005,228.28099320802502,0.3046887720154526,0.8358960108852278,55057169.2717581,0.8358960108852278,12,0.3046887720154526,52343541.54246912,0.3301387632228799,52343541.54246912,0,34933050.953468695,0.3301387632228799,215.63611699672035,0.8358960108852278,0.0,True,2713627.729288969,0.0
kudamatsu,3,4,97.89411201672353,48.947056008361756,12,12,68125896.91023277,68125896.91023277,46962469.86488395,289.89178928940703,0.09425711289294696,0.36147240862039454,68125896.91023277,0.36147240862039454,12,0.09425711289294696,68125896.91023277,0.09425711289294693,68125896.91023277,0,46962469.864883944,0.09425711289294693,289.8917892894071,0.36147240862039454,0.0,True,0.0,0.4285714285714286
kudamatsu,4,4,88.85390566118078,44.42695283059039,12,12,111157279.41173904,111157279.41173904,79008412.73790757,487.7062514685653,0.02337775744515946,0.2807358001258752,111157279.41173904,0.2807358001258752,12,0.02337775744515946,106294769.36641793,0.026196513431713753,106294769.36641793,0,75394076.82598983,0.026196513431713753,465.39553596290017,0.2807358001258752,0.0,True,4862510.045321102,0.0
kudamatsu,5,2,171.7167694429641,85.85838472148205,12,12,16409840.083801217,16409840.083801217,8538003.087471994,52.70372276217281,0.11175496280001608,0.2538320213197917,16409840.083801217,0.2538320213197917,12,0.11175496280001608,16409840.083801221,0.11175496280001608,16409840.083801221,0,8538003.087471996,0.11175496280001608,52.703722762172816,0.2538320213197917,0.0,True,0.0,0.0
kudamatsu,6,1,36.51340036917627,18.256700184588134,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
kudamatsu,7,4,162.6345063736111,81.31725318680554,12,12,44445832.722936265,44445832.722936265,29247122.873993725,180.53779551847973,0.1944835382377824,0.25330597021107576,44445832.722936265,0.25330597021107576,12,0.1944835382377824,44445832.72293626,0.1944835382377824,44445832.72293626,0,29247122.873993725,0.1944835382377824,180.53779551847975,0.25330597021107576,0.0,True,0.0,0.0
kudamatsu,8,1,22.492110177741683,11.246055088870841,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
kudamatsu,9,4,66.79173835653121,33.395869178265606,12,12,38823457.91461335,38823457.91461335,25312081.816509474,156.24741862042882,0.01219450374527957,0.07068457248384852,38823457.91461335,0.07068457248384852,12,0.01219450374527957,38823457.914613344,0.01219450374527957,38823457.914613344,0,25312081.81650947,0.01219450374527957,156.24741862042885,0.07068457248384852,0.0,True,0.0,0.0
kudamatsu,10,3,48.539246404622034,24.269623202311017,12,12,29297775.35032363,29297775.35032363,18242785.867518064,112.60978930566705,0.009197938040918287,0.07868339585842486,29297775.35032363,0.07868339585842486,12,0.009197938040918287,29297775.350323632,0.009197938040918289,29297775.350323632,0,18242785.867518064,0.009197938040918289,112.60978930566705,0.07868339585842486,0.0,True,0.0,0.0
kudamatsu,11,3,21.321982548775686,10.660991274387843,12,12,17153610.744086314,17153610.744086314,9234744.1652205,57.00459361247224,0.0019505975749780993,0.017414978279755248,17153610.744086314,0.017414978279755248,12,0.0019505975749780993,17153610.74408631,0.0019505975749780997,17153610.74408631,0,9234744.1652205,0.0019505975749780997,57.004593612472235,0.017414978279755248,0.0,True,0.0,0.0
kudamatsu,12,2,89.3352932775642,44.6676466387821,12,12,22122436.512862712,22122436.512862712,12866157.42231124,79.42072482908175,0.04615733755693755,0.2002532857202386,22122436.512862712,0.2002532857202386,12,0.04615733755693755,22122436.512862712,0.04615733755693755,22122436.512862712,0,12866157.42231124,0.04615733755693755,79.42072482908173,0.2002532857202386,0.0,True,0.0,0.0
kudamatsu,13,4,202.04189192378874,101.02094596189437,12,12,65397936.523328654,65397936.523328654,44405408.7077341,274.10746115885246,0.4982024527289477,1.112602374638157,65397936.523328654,1.112602374638157,12,0.4982024527289477,65397936.52332865,0.4982024527289477,65397936.52332865,0,44405408.70773409,0.4982024527289477,274.10746115885246,1.112602374638157,0.0,True,4.967053731282552e-09,0.0
kudamatsu,14,6,271.3494279977315,135.67471399886574,12,12,108075526.23320462,108075526.23320462,74773098.39016716,461.56233574177276,1.5032931447649254,1.977048745069989,108075526.23320462,1.977048745069989,12,1.5032931447649254,104903582.88550761,1.689849145268226,104903582.88550761,0,72172357.83202066,1.689849145268226,445.50838167913986,1.977048745069989,0.0,False,3171943.347697001,0.4285714285714286
kudamatsu,15,1,35.315244804585014,17.657622402292507,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
kudamatsu,16,1,11.04851262554832,5.52425631277416,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
