node,cluster
14.0,29
15.0,84
1748.0,84
16.0,84
2926.0,29
1333.0,78
35.0,28
17.0,28
18.0,17
1712.0,20
1461.0,102
29.0,11
19.0,52
1576.0,7
1471.0,52
26.0,11
1321.0,86
1862.0,68
27.0,47
1378.0,47
1418.0,47
1354.0,47
1868.0,82
1156.0,18
37.0,18
265.0,50
682.0,50
278.0,41
285.0,6
720.0,6
1858.0,21
632.0,3
358.0,59
741.0,59
525.0,50
1746.0,32
711.0,89
394.0,59
611.0,41
544.0,41
782.0,3
514.0,105
2147.0,50
2153.0,50
526.0,21
1365.0,90
1798.0,0
574.0,39
709.0,39
633.0,89
662.0,21
1852.0,100
696.0,48
1689.0,48
1750.0,48
2423.0,48
1848.0,39
728.0,6
2793.0,105
797.0,79
1014.0,79
1818.0,79
1008.0,8
802.0,77
1104.0,73
985.0,101
1088.0,77
805.0,23
814.0,37
879.0,23
806.0,40
1376.0,42
2060.0,40
1167.0,30
922.0,19
2065.0,37
1196.0,37
1135.0,77
822.0,66
950.0,79
823.0,101
1268.0,69
2062.0,101
970.0,87
824.0,83
1741.0,85
860.0,96
1131.0,2
1036.0,71
830.0,69
1161.0,101
1129.0,19
1092.0,70
1109.0,96
2806.0,22
963.0,66
2071.0,58
852.0,8
2059.0,5
1082.0,23
884.0,19
888.0,15
1289.0,15
920.0,37
892.0,73
1619.0,60
899.0,106
1115.0,106
2066.0,19
1239.0,97
911.0,19
1096.0,106
955.0,77
1125.0,5
1012.0,81
1271.0,19
2063.0,15
1247.0,94
2830.0,94
1180.0,19
1122.0,9
987.0,22
1164.0,58
1555.0,81
1163.0,94
1028.0,70
2136.0,79
1228.0,71
2061.0,40
1208.0,34
1048.0,71
1214.0,71
1203.0,34
1138.0,2
1186.0,71
1735.0,61
1318.0,73
1119.0,19
1155.0,19
1124.0,41
1183.0,80
2038.0,26
1141.0,101
2051.0,19
2121.0,97
1207.0,96
1302.0,34
1819.0,34
2803.0,22
2877.0,9
2086.0,34
2155.0,41
1316.0,90
1722.0,90
1495.0,90
1631.0,24
1588.0,26
1451.0,95
1664.0,91
1468.0,78
1504.0,11
1322.0,44
2408.0,44
2409.0,1
1711.0,36
1324.0,26
1792.0,26
1569.0,81
1328.0,67
1332.0,104
1395.0,104
1731.0,75
2020.0,104
2841.0,26
1335.0,60
1341.0,7
1658.0,7
1697.0,20
1972.0,85
1344.0,49
1345.0,0
1346.0,93
1584.0,16
2894.0,67
1500.0,90
1556.0,47
1358.0,98
1447.0,98
1971.0,98
1363.0,74
1649.0,74
1476.0,74
1605.0,48
1369.0,33
1699.0,33
1737.0,99
1900.0,76
1480.0,47
1385.0,43
1615.0,43
1501.0,55
1388.0,92
1399.0,92
1681.0,14
1628.0,64
1669.0,104
1608.0,108
1567.0,60
1651.0,33
1464.0,35
1416.0,78
2394.0,74
1530.0,28
1419.0,64
1420.0,55
1425.0,72
1443.0,45
2660.0,38
1427.0,46
1431.0,84
1511.0,90
1436.0,16
1466.0,57
1974.0,56
1794.0,105
1782.0,25
1968.0,4
2661.0,98
1545.0,95
1487.0,91
1456.0,31
1598.0,93
1534.0,35
1720.0,88
2404.0,74
2045.0,12
2048.0,12
2022.0,52
1791.0,26
1660.0,91
2025.0,53
1751.0,0
1490.0,27
1690.0,25
1492.0,62
2031.0,75
1594.0,75
1520.0,36
1646.0,93
1527.0,49
2415.0,49
1865.0,28
1638.0,53
1787.0,55
2037.0,18
1675.0,27
1571.0,46
2778.0,64
2828.0,90
1806.0,16
1749.0,16
2834.0,26
2033.0,75
2424.0,48
2029.0,108
1970.0,57
2400.0,88
1962.0,13
1963.0,13
2844.0,12
2024.0,53
1973.0,65
2885.0,65
1718.0,93
1786.0,91
1705.0,91
1873.0,36
1785.0,91
1902.0,76
1837.0,93
2889.0,61
1976.0,10
1742.0,38
1745.0,54
2117.0,54
1788.0,35
1789.0,25
2426.0,48
2795.0,105
1857.0,100
1864.0,68
1866.0,7
1901.0,76
1964.0,4
1956.0,13
1966.0,13
2115.0,10
2116.0,56
1979.0,45
1980.0,45
2032.0,95
2035.0,26
2043.0,81
2120.0,96
2122.0,97
2128.0,103
2133.0,63
2129.0,103
2130.0,63
2864.0,103
2132.0,51
2134.0,63
2146.0,50
2391.0,31
2398.0,49
2411.0,62
2414.0,107
2416.0,107
2425.0,48
2427.0,0
2428.0,48
2431.0,90
2802.0,46
2820.0,46
2888.0,61
2909.0,99
2915.0,72
