node,lat,lon,x_m,y_m,p_kw,cluster
2048,34.0200686,131.8705685,765070.2163389213,3768098.049420142,5.071605533587169,26.0
2049,34.02042179999999,131.8714901,765154.2447884615,3768139.618788561,0.0,
2050,34.01972060000001,131.872766,765274.2828249091,3768065.142187656,0.0,
2051,34.01619189999999,131.8721262,765226.1713559694,3767672.041469372,15.432119963641703,27.0
2052,34.0170491,131.872316,765241.0348788206,3767767.623481088,0.0,
2053,34.0162643,131.8725004,765260.5122777354,3767681.0430904,0.0,
2054,34.016702800000004,131.8692209,764956.208130692,3767721.18740416,0.0,
2055,34.0172696,131.8697596,765004.2063904703,3767785.458330771,0.0,
2056,34.01815049999999,131.8697832,765003.6458712597,3767883.238372756,0.0,
2057,34.016578100000004,131.8701098,765038.7068315444,3767709.656971312,0.0,
2058,34.01880130000001,131.8722291,765227.5517986848,3767961.771203183,0.0,
2059,34.0194975,131.874162,765403.9268511857,3768044.01468655,20.642127730389834,47.0
2060,34.01541449999999,131.8650595,764575.8069287266,3767567.5052578943,20.57869895245463,11.0
2061,34.0151489,131.8653533,764603.7715688571,3767538.801968707,10.071059703768515,11.0
14,34.0325618,131.8645981,764479.9272397263,3769468.473286072,52.20328500744288,40.0
15,34.0316007,131.8646471,764487.4384559585,3769361.98446262,20.3697933393858,40.0
16,34.0314722,131.8646586,764488.8997586438,3769347.759604097,154.95515219965728,40.0
17,34.0292412,131.8638307,764419.3658213036,3769098.1321840105,25.316041245536216,14.0
18,34.02836349999999,131.8630114,764346.4204988643,3768998.6502597407,88.78294865928538,14.0
19,34.0244239,131.8594142,764026.3960201769,3768552.3361693695,116.10546174326072,36.0
2065,34.013577799999986,131.8690403,764949.2443313237,3767374.061233444,39.78253043628187,48.0
2062,34.01462469999999,131.8682085,764869.150480499,3767488.040692746,6.700807098765462,3.0
2063,34.0140412,131.8686662,764913.245230529,3767424.497741654,3.874813035832134,3.0
2071,34.0128619,131.8777954,765760.2466413656,3767317.353937684,60.91828658199074,20.0
2066,34.0149235,131.8725785,765271.9018144193,3767532.5095454166,46.52058710834937,27.0
2067,34.013540600000006,131.8730623,765320.8998501772,3767380.357898664,0.0,
26,34.02966569999999,131.8601085,764074.2685578685,3769135.6043411754,9.2275626827093,31.0
27,34.02857920000001,131.8657016,764594.2186189508,3769029.535012455,16.43781900889681,39.0
2072,34.0150886,131.879628,765922.5877892801,3767569.126114056,0.0,
29,34.02986069999999,131.8605774,764116.9708163105,3769158.446722515,6.035309390602509,31.0
30,34.030380699999995,131.8620097,764247.6425261039,3769219.830761723,0.0,
31,34.0275933,131.867559,764768.8344512457,3768924.97548401,0.0,
32,34.0230158,131.8710861,765108.8529877597,3768426.326258511,0.0,
33,34.0240438,131.8703772,765040.175023219,3768538.525978753,0.0,
2082,34.0171515,131.8782864,765792.220325297,3767794.479249525,0.0,
35,34.0294139,131.8640143,764435.786688187,3769117.7646491774,62.94114483260621,14.0
36,34.0200023,131.8731041,765304.6357515294,3768097.268286582,0.0,
37,34.0214255,131.8722898,765224.9870738586,3768253.03341124,30.515164715019807,26.0
2085,34.016746399999995,131.8805241,766000.188855372,3767755.357410536,0.0,
2083,34.01764480000001,131.8815721,766094.1900634894,3767857.7435533223,0.0,
2080,34.016044499999985,131.8814073,766083.9657434849,3767679.791726772,0.0,
2084,34.018439900000004,131.8798246,765930.2864497715,3767941.400609529,0.0,
2086,34.0184209,131.8791487,765867.9116431887,3767937.53599626,14.820543360734693,8.0
2856,34.018480700000005,131.8812514,766061.9551620082,3767949.63675771,0.0,
2096,34.0187165,131.8591388,764018.6504872312,3767918.50098122,0.0,
2099,34.0185748,131.8593793,764041.3049320077,3767903.402895373,0.0,
2115,34.0158572,131.8606885,764170.6647448118,3767605.3184518367,32.1223509542665,41.0
2116,34.0154536,131.8603495,764140.6013543011,3767559.67160896,21.26935501430393,41.0
2117,34.0151262,131.8611222,764212.994533941,3767525.3483374114,15.970760593665736,41.0
2118,34.0138149,131.8629778,764388.4748439649,3767384.6791210542,0.0,
2119,34.0140517,131.8635481,764440.4220585176,3767412.4214157434,0.0,
2120,34.01388799999999,131.8631264,764401.9751030924,3767393.172170624,6.1243197418856425,7.0
2121,34.019478,131.8755787,765534.848966969,3768045.528211802,11.836253824171616,47.0
2852,34.016188,131.8804172,765992.0577121589,3767693.135504745,0.0,
2123,34.020698,131.873789,765365.7323897432,3768176.219553258,0.0,
2124,34.0206076,131.8736685,765354.8835442557,3768165.8787888046,0.0,
2122,34.0188157,131.875843,765561.3273921434,3767972.74473436,53.2729832244929,47.0
2126,34.0217098,131.8762896,765593.5556834792,3768294.949737841,0.0,
2127,34.0162562,131.8750619,765497.1535431489,3767686.789434768,0.0,
2125,34.0209041,131.8739307,765378.1789375908,3768199.4500448513,0.0,
2128,34.0161279,131.8766745,765646.5160764487,3767676.743341624,20.292747837805607,20.0
2129,34.01559509999999,131.8770713,765684.8318830419,3767618.6697673146,3.552610484628541,20.0
2131,34.016163600000006,131.8752003,765510.2267292023,3767676.876427866,0.0,
2130,34.0151092,131.8772129,765699.4276465334,3767565.136152556,5.403487389753664,20.0
2133,34.0155618,131.8767832,765658.3225396175,3767614.227580993,15.507523469853338,20.0
2132,34.01637350000001,131.8758659,765571.0566060038,3767701.8885479504,12.41653876150555,20.0
2135,34.014791900000006,131.8777356,765748.7020607461,3767531.295423571,0.0,
2136,34.01684279999999,131.87635100000003,765614.4038934311,3767755.20789871,15.166778966241749,20.0
2137,34.01577559999999,131.8756005,765548.4043536109,3767634.873979379,0.0,
90,34.0360773,131.8616686,764198.459865595,3769850.877085425,0.0,
2139,34.022548,131.8821941,766136.3247604381,3768403.279778741,0.0,
2138,34.01586999999999,131.8789057,765853.4264247234,3767653.93034465,0.0,
2134,34.015226600000005,131.876454,765628.9579254253,3767576.188692293,6.426501144767582,20.0
2142,34.0219674,131.8828688,766200.4598184323,3768340.6288307128,0.0,
2143,34.022785,131.8827188,766184.049212401,3768430.935881569,0.0,
2144,34.0232481,131.8827805,766188.3008026518,3768482.4687431,0.0,
2140,34.0222446,131.8821822,766136.1736825367,3768369.592266285,0.0,
2141,34.0225821,131.8818312,766102.6980742465,3768406.118334856,243.99633905985297,32.0
2147,34.0240886,131.8830896,766214.2239540592,3768576.5110105393,9.25092297146884,32.0
2148,34.02280669999999,131.8822894,766144.318929412,3768432.225674741,0.0,
2145,34.02291649999999,131.8821347,766129.6866183893,3768444.003398523,0.0,
2150,34.0233538,131.8822135,766135.5985808194,3768492.7186859655,0.0,
2146,34.0237868,131.88195450000003,766110.3226276307,3768540.078035994,42.49265343311764,32.0
2152,34.02331829999999,131.8823888,766151.9013835667,3768489.236774748,0.0,
2153,34.0236393,131.8825903,766169.5099911161,3768525.370082751,3.220368714830587,32.0
2151,34.02427649999999,131.8828258,766189.2705333744,3768596.66840579,0.0,
2155,34.0183851,131.8847662,766386.9228234467,3767948.179241411,36.51340036917627,0.0
2149,34.0231249,131.8821486,766130.3192880881,3768467.157644884,0.0,
2850,34.0168944,131.8793175,765888.2688269787,3767768.63839922,0.0,
2854,34.01797710000001,131.8798198,765931.2879228375,3767890.049203064,0.0,
2881,34.01911539999999,131.8726462,765265.1016424907,3767997.696139068,0.0,
2068,34.0141924,131.873168,765328.6341209263,3767452.93673987,0.0,
2073,34.0152178,131.8792338,765885.7701368446,3767582.4338002014,0.0,
2074,34.0154051,131.8794277,765903.0970850107,3767603.715161129,0.0,
2888,34.01530919999999,131.8665723,764715.8785636093,3767559.7377241617,137.75525977170994,11.0
2079,34.01640840000001,131.8835872,766284.1954182773,3767725.831747384,0.0,
2081,34.0161205,131.8807337,766021.5049676057,3767686.470643071,0.0,
254,34.027633599999994,131.8834042,766232.1987559274,3768970.5816074098,0.0,
265,34.02252759999998,131.8833663,766244.6616615674,3768404.0674461033,2.417251142787294,9.0
272,34.0227665,131.8836783,766272.7333884896,3768431.381135236,0.0,
278,34.02086179999999,131.886039,766496.7447125143,3768226.238294621,41.05253356567327,0.0
285,34.0209133,131.8818919,766113.5189926599,3768221.154177191,17.227832800290905,9.0
2334,34.03583750000001,131.8784031,765744.6789594251,3769867.642729999,0.0,
2333,34.0358799,131.8778241,765691.0743124147,3769870.841526035,0.0,
298,34.0340166,131.8777336,765688.531893604,3769663.908106327,0.0,
2346,34.035040599999995,131.8806636,765955.932457041,3769785.118938107,0.0,
308,34.0225308,131.8826152,766175.2744460207,3768402.467535778,0.0,
324,34.0317421,131.8844962,766320.2065955612,3769429.1868095226,0.0,
337,34.0295738,131.8854059,766411.0090073075,3769191.023628103,0.0,
339,34.035236299999994,131.88676870000003,766519.1495133381,3769822.724827493,0.0,
342,34.03243909999999,131.8785631,765770.0649422512,3769491.069652867,0.0,
2390,34.0356414,131.866471,764643.3271130163,3769814.941656161,0.0,
2392,34.03430349999999,131.8643899,764455.2882175071,3769661.142943597,0.0,
345,34.0290038,131.886373,766502.1143832661,3769130.3125224686,287.3398167528183,21.0
2394,34.0318643,131.8624657,764285.1525695713,3769385.585906206,123.30058854969056,40.0
2391,34.035663400000004,131.8696275,764934.7701522653,3769825.5563898026,80.1643845790877,4.0
2393,34.0338987,131.8643323,764451.2261075543,3769616.089193992,0.0,
2397,34.03401019999999,131.8644245,764459.3948192802,3769628.696430431,0.0,
2398,34.0341039,131.864001,764419.991681019,3769637.995419876,41.00278345132352,40.0
2399,34.0336118,131.8626776,764299.2977888796,3769579.9849784174,0.0,
2400,34.0329702,131.8635646,764383.2090329308,3769511.104816548,93.41578739486448,40.0
2401,34.03403230000001,131.8621201,764246.5047491547,3769625.190496021,0.0,
2404,34.0332994,131.8618619,764224.9335754636,3769543.2221779865,28.36484729183218,35.0
2405,34.0335444,131.8620012,764237.0382015842,3769570.760152356,0.0,
358,34.0351029,131.8839247,766256.9127463136,3769800.517085353,5.017280316324412,46.0
359,34.03201500000001,131.8788081,765794.0163549472,3769444.660491505,0.0,
2408,34.03467130000001,131.8605226,764096.9863527832,3769691.948025952,20.96166585352162,35.0
2409,34.03395479999999,131.8609167,764135.6060218862,3769613.484162488,21.62650485992392,35.0
2410,34.034462,131.86180390000004,764215.9686483087,3769672.040325849,0.0,
2406,34.0347283,131.8620408,764237.0206867865,3769702.193338184,0.0,
2407,34.0341961,131.8613814,764177.7742988801,3769641.452216351,0.0,
2411,34.0346969,131.8626707,764295.291698782,3769700.338070475,10.87863365511553,35.0
2412,34.03462329999999,131.8697402,764948.4155238598,3769710.469085253,0.0,
2415,34.0341068,131.8654043,764549.5835112706,3769641.946854595,20.314592426290695,5.0
2413,34.0343845,131.8697217,764947.4502012662,3769683.9308302426,0.0,
2414,34.033712599999994,131.8684796,764834.8273356534,3769606.1785988086,24.011377266388536,10.0
2416,34.034299000000004,131.8685886,764843.0696917914,3769671.510812189,32.01012923944421,10.0
2419,34.03477840000001,131.8697533,764949.142629707,3769727.7084255503,0.0,
2420,34.0346537,131.8692826,764906.0597698612,3769712.655771021,0.0,
2421,34.0341309,131.86902920000003,764884.2840270288,3769654.004603,0.0,
2422,34.03492450000001,131.8709548,765059.6507795015,3769747.029391371,0.0,
2423,34.0323257,131.8695389,764936.9749267949,3769455.072524441,7.32593340306305,2.0
2424,34.0314455,131.8705248,765030.7691916323,3769359.985871161,38.960141653499086,2.0
2417,34.0342919,131.8691726,764897.0266683742,3769672.235972917,0.0,
2426,34.03177550000001,131.8711338,765085.9873576369,3769398.171640361,7.543594073455969,2.0
2418,34.034669499999985,131.8711752,765080.7995753186,3769719.313332364,0.0,
2425,34.03194409999999,131.8701982,764999.0533105849,3769414.4496336496,22.53308789425222,2.0
2429,34.03192049999999,131.8712686,765097.9855892392,3769414.606087329,0.0,
2430,34.031584,131.8675537,764755.9355414057,3769367.6534579466,0.0,
383,34.02362819999998,131.8830943,766216.0972882189,3768525.450460322,0.0,
384,34.0346406,131.8817418,766056.7585186666,3769743.551350861,0.0,
2427,34.0328014,131.8714822,765114.9698386244,3769512.878986664,69.60843586741025,2.0
2428,34.0322672,131.8706952,765043.9487962052,3769451.579506567,14.157130234026756,2.0
2431,34.0313542,131.8673766,764740.293659814,3769341.703038604,8.307783747582405,24.0
394,34.0355058,131.8848367,766339.8788500018,3769847.586638792,26.937581661278774,46.0
396,34.02247930000001,131.8872519,766603.7162167106,3768408.830674527,0.0,
424,34.016350200000005,131.88631300000003,766536.1710919235,3767726.474214177,0.0,
434,34.0346967,131.8834624,766215.4878832554,3769754.252976835,0.0,
468,34.0217896,131.88712,766593.6918530997,3768331.97745427,0.0,
484,34.022537199999995,131.8837043,766275.8518604408,3768406.012267228,0.0,
488,34.03493019999999,131.8867949,766522.5275647345,3769788.8369529154,0.0,
506,34.0347038,131.8776916,765682.5082482176,3769740.0309462985,0.0,
514,34.03601849999999,131.8741761,765353.7394253635,3769876.743227277,66.76281005363795,16.0
525,34.023858700000005,131.8827431,766182.9377950437,3768550.1060675383,3.3338306189638303,32.0
526,34.03468719999999,131.8787988,765784.8145329619,3769741.066936628,9.64678732062372,46.0
544,34.0214742,131.8847529,766376.0331340574,3768290.822597016,10.245265799120183,9.0
549,34.0340148,131.8780106,765714.1198006049,3769664.4282118217,0.0,
557,34.0316296,131.8716734,765136.2776000884,3769383.385746357,0.0,
