node,cluster
6144.0,197
6241.0,43
88.0,114
77.0,82
3943.0,82
3948.0,82
4528.0,82
78.0,101
3941.0,101
80.0,101
79.0,101
3942.0,39
82.0,40
3604.0,122
4538.0,40
83.0,40
5229.0,98
1616.0,237
5215.0,141
84.0,50
3727.0,50
3725.0,7
1780.0,291
3611.0,281
85.0,85
3721.0,85
86.0,15
4820.0,230
4823.0,15
5066.0,78
89.0,214
1629.0,113
5072.0,22
4411.0,114
5943.0,214
3791.0,214
90.0,221
4410.0,221
4656.0,121
5213.0,108
91.0,124
4888.0,34
3739.0,124
3740.0,124
92.0,272
4992.0,164
5005.0,183
3735.0,215
3738.0,119
175.0,286
3940.0,286
4787.0,286
176.0,101
3944.0,39
3946.0,258
4790.0,144
178.0,292
3945.0,292
3938.0,171
4022.0,158
3947.0,258
212.0,284
205.0,286
4020.0,283
207.0,73
4023.0,73
3596.0,0
4025.0,196
861.0,289
209.0,118
5692.0,118
210.0,116
5220.0,95
1468.0,245
4409.0,9
5197.0,55
4407.0,153
213.0,18
3788.0,18
3599.0,18
1480.0,84
214.0,49
3597.0,196
3598.0,49
215.0,155
4532.0,262
5696.0,300
3600.0,143
216.0,262
5690.0,262
5226.0,161
217.0,262
3787.0,161
5687.0,246
1520.0,229
258.0,202
259.0,202
375.0,181
4351.0,138
4354.0,181
376.0,20
4352.0,20
4678.0,128
5710.0,187
3742.0,282
4890.0,282
868.0,232
4541.0,179
866.0,151
826.0,232
875.0,277
3608.0,145
827.0,71
4425.0,285
4419.0,295
829.0,218
4867.0,218
3730.0,74
1809.0,194
856.0,135
860.0,288
6040.0,106
859.0,292
4021.0,289
5203.0,288
5219.0,288
5694.0,289
3595.0,300
6029.0,266
4542.0,131
864.0,99
3602.0,143
4536.0,54
5202.0,99
4418.0,151
867.0,191
4546.0,263
878.0,277
876.0,36
5506.0,36
877.0,166
5504.0,166
4429.0,222
5230.0,277
882.0,277
887.0,150
5502.0,150
1401.0,167
1412.0,167
1406.0,45
1427.0,45
5214.0,45
1407.0,126
1410.0,44
5628.0,185
5630.0,94
1441.0,92
1421.0,23
5629.0,23
6124.0,167
1450.0,220
1446.0,239
1440.0,19
1423.0,298
1425.0,45
5231.0,45
1442.0,288
5207.0,45
1431.0,116
1433.0,254
6249.0,254
4708.0,254
1434.0,129
1449.0,92
1435.0,23
1451.0,156
1444.0,19
5224.0,220
5223.0,288
6010.0,58
1469.0,297
4635.0,216
1473.0,4
4350.0,173
1453.0,156
1452.0,16
1458.0,16
4585.0,112
1454.0,159
6248.0,128
1455.0,209
5704.0,209
1456.0,16
5774.0,245
1486.0,84
1461.0,0
4637.0,0
1465.0,268
1467.0,58
1479.0,252
4789.0,144
4530.0,297
1483.0,4
6035.0,4
4793.0,173
1494.0,252
1488.0,84
6036.0,293
4638.0,84
1503.0,201
1534.0,234
1500.0,252
1539.0,269
1496.0,18
1497.0,49
1525.0,301
1533.0,269
1501.0,290
5194.0,290
6155.0,31
1537.0,261
1507.0,199
1521.0,100
4534.0,246
5688.0,229
5199.0,9
1523.0,115
6039.0,293
6037.0,115
1582.0,54
1550.0,261
1527.0,137
1565.0,38
5196.0,68
1562.0,234
1544.0,261
1593.0,1
1552.0,206
1596.0,257
1571.0,206
3601.0,154
1579.0,122
1574.0,38
5183.0,240
4679.0,38
1577.0,240
1602.0,240
4359.0,77
4356.0,14
1607.0,237
1583.0,77
6243.0,77
4358.0,207
1585.0,38
4673.0,241
1588.0,296
5682.0,296
4677.0,257
1608.0,127
1630.0,247
5680.0,127
5681.0,247
1613.0,77
1619.0,168
1648.0,105
4539.0,168
1625.0,257
6212.0,257
4680.0,257
1628.0,176
4658.0,121
3790.0,188
5071.0,113
1687.0,67
1642.0,260
1643.0,260
4676.0,142
3792.0,241
1671.0,142
6240.0,198
1651.0,8
4548.0,184
4416.0,274
1676.0,184
1653.0,198
1679.0,43
1680.0,43
1664.0,170
6236.0,170
6230.0,205
1665.0,140
4547.0,263
1686.0,142
1672.0,184
6226.0,211
1673.0,72
5222.0,72
1690.0,299
4549.0,211
1677.0,65
6234.0,275
1685.0,163
1689.0,142
1695.0,162
6237.0,205
5505.0,299
1692.0,205
1720.0,28
1696.0,162
1698.0,163
6225.0,163
1704.0,148
1716.0,212
3609.0,145
1705.0,192
1723.0,212
1715.0,192
1708.0,42
4806.0,235
4639.0,42
4807.0,235
5959.0,42
1709.0,285
1721.0,166
1726.0,29
5507.0,285
1710.0,42
1714.0,61
3723.0,32
1711.0,264
1719.0,264
1717.0,281
4808.0,61
1728.0,192
1727.0,212
1722.0,212
4810.0,281
6147.0,256
1737.0,256
1725.0,59
4809.0,59
4640.0,3
1731.0,132
1747.0,47
4552.0,81
5772.0,210
1755.0,157
1740.0,29
1738.0,47
1739.0,52
5678.0,271
1730.0,81
1757.0,2
3610.0,147
1759.0,2
1736.0,132
1733.0,61
4811.0,30
4813.0,33
4641.0,132
5501.0,3
1823.0,169
1753.0,56
1744.0,47
1752.0,52
5677.0,271
1745.0,29
1741.0,3
1750.0,47
1751.0,29
1770.0,76
4553.0,178
1762.0,76
1761.0,52
1763.0,56
6204.0,87
3722.0,157
4554.0,178
1774.0,177
1769.0,76
1766.0,87
1767.0,87
1777.0,76
4555.0,177
3624.0,111
1771.0,48
4832.0,48
1772.0,87
1787.0,111
4556.0,177
1803.0,41
1807.0,270
4843.0,5
4857.0,280
4837.0,291
3623.0,111
1790.0,74
1792.0,248
6186.0,46
4854.0,208
1799.0,273
1794.0,248
1804.0,53
1798.0,53
4848.0,248
1800.0,217
4987.0,215
4864.0,273
4866.0,10
1813.0,217
4643.0,41
1838.0,104
1819.0,204
1808.0,270
1825.0,270
1827.0,270
4989.0,164
1820.0,217
1818.0,204
1826.0,26
1815.0,130
1817.0,51
4875.0,86
1831.0,26
1830.0,90
1856.0,174
1834.0,26
1857.0,249
1835.0,90
1832.0,90
4557.0,90
1853.0,63
1844.0,63
6272.0,25
6273.0,25
4558.0,90
1858.0,104
1852.0,104
1851.0,63
1845.0,228
4886.0,228
5497.0,228
1847.0,25
1865.0,37
1860.0,104
4559.0,107
1870.0,174
1868.0,249
1875.0,57
1864.0,134
1895.0,139
1867.0,107
4561.0,107
1890.0,89
1869.0,249
1893.0,250
1877.0,57
1874.0,83
5060.0,282
4562.0,107
4563.0,57
1886.0,250
1883.0,109
1884.0,250
4567.0,35
5024.0,27
5043.0,13
5042.0,123
1905.0,103
1889.0,89
4569.0,89
1901.0,193
4570.0,89
1903.0,231
5038.0,236
5047.0,123
5040.0,251
4572.0,62
1902.0,62
4571.0,62
5052.0,103
5053.0,13
3786.0,300
3789.0,18
3603.0,246
4537.0,179
3605.0,1
6191.0,1
4545.0,6
4544.0,12
4550.0,147
6108.0,96
4551.0,147
4642.0,41
4828.0,276
4831.0,276
6141.0,197
3724.0,32
4821.0,180
4825.0,32
4816.0,33
4819.0,7
4827.0,226
3732.0,203
4830.0,50
4829.0,276
4856.0,203
4988.0,294
4994.0,64
5017.0,119
5016.0,119
4889.0,34
6012.0,297
3783.0,269
4529.0,161
5691.0,161
4675.0,188
5216.0,108
6245.0,214
5192.0,258
5208.0,95
5714.0,14
4353.0,152
5712.0,149
5716.0,207
5708.0,153
4659.0,66
5503.0,222
6013.0,297
5686.0,246
5206.0,179
5218.0,179
5684.0,253
6109.0,190
4657.0,189
4564.0,35
4565.0,35
4568.0,35
4566.0,35
4636.0,216
4655.0,195
6213.0,75
6223.0,255
6216.0,121
6222.0,66
6224.0,69
4674.0,159
6160.0,159
5555.0,142
6161.0,128
5186.0,160
4812.0,146
6227.0,146
4815.0,97
4822.0,97
4814.0,30
4818.0,15
4817.0,15
4824.0,15
4855.0,273
4836.0,5
4833.0,48
4835.0,291
4844.0,208
4841.0,267
4839.0,102
4845.0,70
4847.0,267
4842.0,102
4849.0,5
4850.0,70
4846.0,70
4858.0,224
4853.0,203
4870.0,182
4860.0,280
4861.0,280
4863.0,224
4862.0,224
4885.0,172
4871.0,182
4865.0,224
4868.0,287
4872.0,80
4869.0,10
4877.0,86
4879.0,186
4873.0,79
4876.0,80
4874.0,279
4881.0,186
4878.0,80
4882.0,17
4883.0,17
4880.0,186
4887.0,228
4884.0,172
4892.0,213
4996.0,136
4990.0,294
4993.0,294
4991.0,169
5002.0,60
5001.0,125
4997.0,64
5003.0,117
4998.0,244
4999.0,244
5004.0,136
5008.0,11
5000.0,244
5009.0,117
5006.0,125
5007.0,165
5010.0,183
5013.0,242
5012.0,91
5014.0,24
5026.0,175
5011.0,24
5019.0,242
5018.0,91
5021.0,278
6153.0,110
5020.0,119
5030.0,175
5032.0,175
5022.0,238
5023.0,27
6154.0,278
5027.0,278
5028.0,265
5025.0,110
5037.0,265
5035.0,110
5034.0,175
5036.0,236
5029.0,278
5031.0,110
6152.0,110
5039.0,233
5041.0,233
5044.0,233
6151.0,251
6150.0,233
5045.0,123
5046.0,233
5049.0,13
5048.0,233
5051.0,13
6149.0,233
5054.0,223
5055.0,225
5182.0,209
5190.0,240
5184.0,259
5941.0,160
5187.0,68
5189.0,259
5191.0,55
5706.0,209
5952.0,202
5209.0,135
5204.0,200
6032.0,253
5211.0,227
6031.0,227
5228.0,120
5217.0,243
6028.0,220
5227.0,288
6027.0,220
5499.0,150
5500.0,3
5631.0,21
5679.0,247
5683.0,120
5685.0,246
5689.0,229
5693.0,161
5695.0,95
5697.0,196
5705.0,209
5707.0,209
5709.0,153
5711.0,187
5713.0,149
5715.0,14
5717.0,207
5773.0,28
5775.0,245
5942.0,160
5944.0,214
6030.0,266
6034.0,4
6142.0,197
6143.0,197
6145.0,197
6146.0,256
6148.0,56
6158.0,31
6156.0,31
6159.0,93
6211.0,219
6214.0,75
6218.0,75
6215.0,75
6217.0,75
6220.0,69
6221.0,255
6228.0,65
6235.0,205
6231.0,65
6232.0,65
6233.0,88
6238.0,205
6239.0,142
6242.0,133
6244.0,77
6246.0,214
