node,cluster
6144.0,357
6241.0,182
88.0,259
77.0,318
3943.0,318
3948.0,318
4528.0,386
78.0,375
3941.0,375
80.0,375
79.0,87
3942.0,87
82.0,91
3604.0,227
4538.0,91
83.0,175
5229.0,155
1616.0,129
5215.0,54
84.0,245
3727.0,125
3725.0,245
1780.0,327
3611.0,223
85.0,192
3721.0,192
86.0,38
4820.0,42
4823.0,60
5066.0,205
89.0,379
1629.0,8
5072.0,166
4411.0,349
5943.0,338
3791.0,379
90.0,19
4410.0,185
4656.0,84
5213.0,367
91.0,355
4888.0,253
3739.0,355
3740.0,355
92.0,391
4992.0,206
5005.0,391
3735.0,194
3738.0,137
175.0,133
3940.0,133
4787.0,231
176.0,375
3944.0,87
3946.0,40
4790.0,215
178.0,21
3945.0,21
3938.0,165
4022.0,92
3947.0,40
212.0,25
205.0,201
4020.0,375
207.0,184
4023.0,184
3596.0,216
4025.0,189
861.0,57
209.0,92
5692.0,30
210.0,102
5220.0,135
1468.0,72
4409.0,126
5197.0,103
4407.0,312
213.0,23
3788.0,23
3599.0,171
1480.0,372
214.0,55
3597.0,189
3598.0,55
215.0,290
4532.0,63
5696.0,56
3600.0,85
216.0,63
5690.0,63
5226.0,371
217.0,179
3787.0,297
5687.0,183
1520.0,146
258.0,141
259.0,141
375.0,9
4351.0,308
4354.0,9
376.0,256
4352.0,256
4678.0,246
5710.0,150
3742.0,127
4890.0,106
868.0,123
4541.0,258
866.0,160
826.0,123
875.0,123
3608.0,267
827.0,82
4425.0,269
4419.0,14
829.0,390
4867.0,388
3730.0,325
1809.0,333
856.0,236
860.0,237
6040.0,276
859.0,97
4021.0,57
5203.0,237
5219.0,237
5694.0,57
3595.0,56
6029.0,360
4542.0,178
864.0,85
3602.0,85
4536.0,86
5202.0,310
4418.0,160
867.0,164
4546.0,156
878.0,123
876.0,326
5506.0,326
877.0,212
5504.0,212
4429.0,335
5230.0,123
882.0,335
887.0,294
5502.0,196
1401.0,224
1412.0,224
1406.0,364
1427.0,383
5214.0,68
1407.0,362
1410.0,45
5628.0,362
5630.0,362
1441.0,45
1421.0,260
5629.0,235
6124.0,224
1450.0,207
1446.0,209
1440.0,5
1423.0,345
1425.0,383
5231.0,383
1442.0,119
5207.0,284
1431.0,76
1433.0,39
6249.0,39
4708.0,381
1434.0,235
1449.0,346
1435.0,260
1451.0,149
1444.0,5
5224.0,119
5223.0,119
6010.0,199
1469.0,50
4635.0,117
1473.0,360
4350.0,172
1453.0,149
1452.0,314
1458.0,314
4585.0,260
1454.0,1
6248.0,143
1455.0,330
5704.0,330
1456.0,306
5774.0,72
1486.0,89
1461.0,111
4637.0,111
1465.0,232
1467.0,199
1479.0,6
4789.0,131
4530.0,320
1483.0,360
6035.0,320
4793.0,172
1494.0,213
1488.0,372
6036.0,132
4638.0,261
1503.0,321
1534.0,142
1500.0,213
1539.0,255
1496.0,151
1497.0,55
1525.0,85
1533.0,358
1501.0,128
5194.0,313
6155.0,31
1537.0,300
1507.0,166
1521.0,166
4534.0,193
5688.0,193
5199.0,126
1523.0,81
6039.0,132
6037.0,81
1582.0,389
1550.0,300
1527.0,162
1565.0,250
5196.0,115
1562.0,142
1544.0,300
1593.0,298
1552.0,358
1596.0,291
1571.0,198
3601.0,322
1579.0,94
1574.0,250
5183.0,228
4679.0,309
1577.0,228
1602.0,311
4359.0,349
4356.0,158
1607.0,129
1583.0,370
6243.0,254
4358.0,163
1585.0,27
4673.0,347
1588.0,249
5682.0,342
4677.0,291
1608.0,348
1630.0,11
5680.0,348
5681.0,11
1613.0,369
1619.0,134
1648.0,22
4539.0,134
1625.0,37
6212.0,37
4680.0,291
1628.0,37
4658.0,84
3790.0,367
5071.0,8
1687.0,173
1642.0,51
1643.0,51
4676.0,26
3792.0,356
1671.0,376
6240.0,363
1651.0,22
4548.0,78
4416.0,54
1676.0,78
1653.0,282
1679.0,182
1680.0,24
1664.0,384
6236.0,105
6230.0,101
1665.0,156
4547.0,156
1686.0,376
1672.0,78
6226.0,0
1673.0,233
5222.0,71
1690.0,219
4549.0,28
1677.0,161
6234.0,74
1685.0,190
1689.0,77
1695.0,173
6237.0,20
5505.0,219
1692.0,20
1720.0,113
1696.0,173
1698.0,283
6225.0,190
1704.0,234
1716.0,234
3609.0,17
1705.0,62
1723.0,366
1715.0,62
1708.0,251
4806.0,329
4639.0,323
4807.0,329
5959.0,377
1709.0,278
1721.0,281
1726.0,278
5507.0,269
1710.0,323
1714.0,53
3723.0,43
1711.0,109
1719.0,109
1717.0,186
4808.0,122
1728.0,62
1727.0,234
1722.0,366
4810.0,186
6147.0,96
1737.0,305
1725.0,242
4809.0,113
4640.0,93
1731.0,281
1747.0,70
4552.0,387
5772.0,242
1755.0,58
1740.0,12
1738.0,16
1739.0,221
5678.0,47
1730.0,387
1757.0,353
3610.0,382
1759.0,353
1736.0,239
1733.0,122
4811.0,186
4813.0,350
4641.0,293
5501.0,239
1823.0,10
1753.0,107
1744.0,16
1752.0,221
5677.0,47
1745.0,12
1741.0,159
1750.0,243
1751.0,125
1770.0,52
4553.0,307
1762.0,243
1761.0,221
1763.0,107
6204.0,120
3722.0,58
4554.0,301
1774.0,7
1769.0,136
1766.0,120
1767.0,120
1777.0,136
4555.0,4
3624.0,220
1771.0,337
4832.0,337
1772.0,120
1787.0,272
4556.0,4
1803.0,270
1807.0,257
4843.0,385
4857.0,211
4837.0,327
3623.0,220
1790.0,110
1792.0,204
6186.0,177
4854.0,302
1799.0,343
1794.0,324
1804.0,66
1798.0,66
4848.0,324
1800.0,220
4987.0,112
4864.0,340
4866.0,268
1813.0,220
4643.0,202
1838.0,286
1819.0,67
1808.0,257
1825.0,365
1827.0,257
4989.0,206
1820.0,80
1818.0,67
1826.0,359
1815.0,222
1817.0,388
4875.0,13
1831.0,359
1830.0,80
1856.0,174
1834.0,359
1857.0,174
1835.0,80
1832.0,59
4557.0,36
1853.0,295
1844.0,295
6272.0,217
6273.0,273
4558.0,36
1858.0,90
1852.0,90
1851.0,295
1845.0,344
4886.0,344
5497.0,374
1847.0,217
1865.0,157
1860.0,90
4559.0,295
1870.0,167
1868.0,214
1875.0,3
1864.0,75
1895.0,271
1867.0,392
4561.0,392
1890.0,65
1869.0,214
1893.0,266
1877.0,3
1874.0,152
5060.0,188
4562.0,392
4563.0,3
1886.0,266
1883.0,32
1884.0,154
4567.0,69
5024.0,49
5043.0,2
5042.0,361
1905.0,380
1889.0,73
4569.0,226
1901.0,124
4570.0,226
1903.0,180
5038.0,32
5047.0,361
5040.0,275
4572.0,285
1902.0,285
4571.0,285
5052.0,380
5053.0,380
3786.0,56
3789.0,55
3603.0,310
4537.0,299
3605.0,138
6191.0,208
4545.0,145
4544.0,252
4550.0,247
6108.0,64
4551.0,247
4642.0,202
4828.0,177
4831.0,177
6141.0,357
3724.0,43
4821.0,42
4825.0,43
4816.0,350
4819.0,245
4827.0,245
3732.0,341
4830.0,351
4829.0,177
4856.0,88
4988.0,341
4994.0,218
5017.0,355
5016.0,137
4889.0,253
6012.0,320
3783.0,241
4529.0,225
5691.0,371
4675.0,367
5216.0,367
6245.0,262
5192.0,108
5208.0,135
5714.0,158
4353.0,308
5712.0,210
5716.0,9
5708.0,312
4659.0,33
5503.0,93
6013.0,320
5686.0,183
5206.0,86
5218.0,86
5684.0,144
6109.0,156
4657.0,61
4564.0,69
4565.0,69
4568.0,69
4566.0,69
4636.0,117
4655.0,33
6213.0,99
6223.0,33
6216.0,84
