city,cluster,u,v,freq
sano,0,212,4407,1.0
sano,0,4407,5708,1.0
sano,0,5708,5709,1.0
sano,0,5708,5710,1.0
sano,0,5710,5711,1.0
sano,1,1480,1488,1.0
sano,1,1486,4638,1.0
sano,1,1488,4638,1.0
sano,2,4860,4861,1.0
sano,2,4860,4885,1.0
sano,2,4861,4863,0.20833333333333334
sano,2,4861,4871,0.7916666666666666
sano,2,4863,4868,0.20833333333333334
sano,2,4868,4871,1.0
sano,2,4868,4872,1.0
sano,2,4870,4871,1.0
sano,2,4872,4876,1.0
sano,2,4873,4874,1.0
sano,2,4873,4880,0.5833333333333334
sano,2,4874,4878,1.0
sano,2,4874,4881,0.3333333333333333
sano,2,4878,4882,0.625
sano,2,4879,4880,1.0
sano,2,4880,4885,0.7083333333333334
sano,2,4881,4882,1.0
sano,2,4881,4885,0.75
sano,2,4882,4883,1.0
sano,2,4882,4884,1.0
sano,3,4988,4990,1.0
sano,3,4990,4993,1.0
sano,3,4993,5002,1.0
sano,3,4996,5002,1.0
sano,4,1672,1676,1.0
sano,4,1672,4548,1.0
sano,4,1672,6226,0.375
sano,4,4548,4657,0.7916666666666666
sano,4,4657,5959,0.8333333333333334
sano,4,5959,6226,1.0
sano,6,4812,4818,0.7083333333333334
sano,6,4812,6227,1.0
sano,6,4817,4818,1.0
sano,6,4817,4823,0.08333333333333333
sano,6,4817,4824,0.5833333333333334
sano,6,4818,86,1.0
sano,6,4820,4821,1.0
sano,6,4820,6227,0.2916666666666667
sano,6,4820,86,1.0
sano,6,4823,4824,0.4166666666666667
sano,6,4823,86,0.9166666666666666
sano,7,5030,5032,1.0
sano,7,5032,5039,1.0
sano,7,5039,5044,1.0
sano,7,5044,6150,1.0
sano,8,3738,5016,1.0
sano,8,3738,5017,1.0
sano,8,3739,5017,1.0
sano,8,3739,91,1.0
sano,8,3740,91,1.0
sano,8,5010,5016,1.0
sano,8,5016,5020,1.0
sano,9,258,259,1.0
sano,10,1689,4676,1.0
sano,10,1689,6237,1.0
sano,10,1692,6230,1.0
sano,10,1692,6237,1.0
sano,10,4676,5555,1.0
sano,10,6230,6235,1.0
sano,10,6237,6238,1.0
sano,11,4353,5712,1.0
sano,11,5712,5713,1.0
sano,12,1425,1442,1.0
sano,12,1425,5231,1.0
sano,12,1427,5207,1.0
sano,12,1427,5231,1.0
sano,12,1442,5224,1.0
sano,12,1450,5224,1.0
sano,13,1905,5053,1.0
sano,13,5049,5051,1.0
sano,13,5049,5053,1.0
sano,13,5053,5055,1.0
sano,14,3721,4826,1.0
sano,14,3721,4828,1.0
sano,14,4828,4829,1.0
sano,14,4829,6186,1.0
sano,15,1720,1725,1.0
sano,15,1720,4809,1.0
sano,15,1725,5772,1.0
sano,15,5772,5773,1.0
sano,16,1407,1410,1.0
sano,16,1407,5628,0.041666666666666664
sano,16,1407,5630,0.9583333333333334
sano,16,1410,1441,1.0
sano,16,1412,1421,1.0
sano,16,1412,5629,1.0
sano,16,1434,1449,1.0
sano,16,1435,1451,1.0
sano,16,1441,1448,1.0
sano,16,1448,1449,1.0
