city,cluster,u,v,freq
sano,0,1799.0,4864.0,1.0
sano,0,1799.0,4866.0,1.0
sano,5,1527.0,5193.0,1.0
sano,5,1527.0,6157.0,1.0
sano,5,6156.0,6157.0,1.0
sano,5,6156.0,6159.0,1.0
sano,8,5213.0,5216.0,1.0
sano,9,1679.0,6241.0,1.0
sano,9,6241.0,6242.0,1.0
sano,10,5030.0,5032.0,1.0
sano,14,1629.0,5071.0,1.0
sano,15,175.0,3940.0,1.0
sano,15,175.0,4528.0,1.0
sano,16,1755.0,3722.0,1.0
sano,17,1753.0,1763.0,1.0
sano,17,1753.0,6147.0,1.0
sano,17,6146.0,6147.0,1.0
sano,17,6146.0,6148.0,1.0
sano,18,5036.0,5038.0,1.0
sano,19,4416.0,5215.0,1.0
sano,20,1673.0,4419.0,1.0
sano,20,1673.0,5222.0,1.0
sano,21,1501.0,5194.0,1.0
sano,22,1886.0,1893.0,1.0
sano,27,1452.0,1458.0,1.0
sano,33,5712.0,5713.0,1.0
sano,35,1808.0,1827.0,1.0
sano,35,1825.0,1827.0,1.0
sano,35,1807.0,1808.0,1.0
sano,36,826.0,875.0,1.0
sano,39,1868.0,1869.0,1.0
sano,39,1868.0,1870.0,1.0
sano,42,1686.0,1689.0,1.0
sano,44,1721.0,5504.0,1.0
sano,45,825.0,868.0,1.0
sano,46,1677.0,6234.0,1.0
sano,46,6231.0,6234.0,1.0
sano,46,6231.0,6235.0,1.0
sano,46,6231.0,6232.0,1.0
sano,46,6228.0,6229.0,1.0
sano,46,1692.0,6229.0,1.0
sano,46,1692.0,6230.0,1.0
sano,46,6230.0,6235.0,1.0
sano,47,3724.0,4825.0,1.0
sano,48,1521.0,5072.0,1.0
sano,49,5027.0,5029.0,1.0
sano,50,5034.0,5041.0,1.0
sano,51,1456.0,5774.0,1.0
sano,51,5774.0,5775.0,1.0
sano,53,1534.0,1562.0,1.0
sano,56,1468.0,211.0,1.0
sano,57,4828.0,4829.0,1.0
sano,57,4829.0,6186.0,1.0
sano,57,3721.0,4828.0,1.0
sano,57,3721.0,4831.0,1.0
sano,59,5198.0,5952.0,1.0
sano,60,1817.0,4867.0,1.0
sano,61,4850.0,4856.0,1.0
sano,62,5716.0,5717.0,1.0
sano,65,4550.0,4551.0,1.0
sano,66,1582.0,4536.0,1.0
sano,67,1671.0,4676.0,1.0
sano,69,5046.0,6149.0,1.0
sano,70,1803.0,4643.0,1.0
sano,70,4642.0,4643.0,1.0
sano,71,1728.0,1739.0,1.0
sano,71,1715.0,1728.0,1.0
sano,72,5688.0,5689.0,1.0
sano,72,5687.0,5688.0,1.0
sano,72,1520.0,5688.0,1.0
sano,72,5686.0,5687.0,1.0
sano,72,5685.0,5686.0,1.0
sano,73,5219.0,6028.0,1.0
sano,75,4561.0,4562.0,1.0
sano,76,1695.0,1696.0,1.0
sano,76,1695.0,6229.0,1.0
sano,77,3600.0,3602.0,1.0
sano,78,4350.0,4793.0,1.0
sano,79,876.0,877.0,1.0
sano,82,5035.0,6152.0,1.0
sano,82,5031.0,6152.0,1.0
sano,87,5186.0,5941.0,1.0
sano,91,1845.0,4886.0,1.0
sano,91,1845.0,5497.0,1.0
sano,94,1427.0,5207.0,1.0
sano,94,1427.0,5231.0,1.0
sano,96,1819.0,1824.0,1.0
sano,96,1824.0,1828.0,1.0
sano,96,1818.0,1828.0,1.0
sano,102,1792.0,1794.0,1.0
sano,102,1790.0,1792.0,1.0
sano,102,1794.0,4848.0,1.0
sano,103,4835.0,4837.0,1.0
sano,107,1757.0,1759.0,1.0
sano,108,4888.0,4889.0,1.0
sano,108,4887.0,4888.0,1.0
sano,109,3721.0,85.0,1.0
sano,110,1766.0,1767.0,1.0
sano,111,4828.0,4855.0,1.0
sano,111,4828.0,4829.0,1.0
sano,111,3730.0,4829.0,1.0
sano,112,6155.0,6158.0,1.0
sano,113,4529.0,5226.0,1.0
sano,115,1406.0,5214.0,1.0
sano,117,1826.0,1831.0,1.0
sano,120,1858.0,1860.0,1.0
sano,120,1852.0,1860.0,1.0
sano,121,1750.0,1762.0,1.0
sano,126,4676.0,5555.0,1.0
sano,126,1689.0,4676.0,1.0
sano,126,1689.0,6237.0,1.0
sano,126,6237.0,6238.0,1.0
sano,128,5959.0,6226.0,1.0
sano,129,1813.0,1820.0,1.0
sano,130,4429.0,5503.0,1.0
sano,137,205.0,4787.0,1.0
sano,139,3790.0,4675.0,1.0
sano,141,1798.0,1804.0,1.0
sano,141,1804.0,1809.0,1.0
sano,142,5023.0,5028.0,1.0
sano,142,5023.0,5024.0,1.0
sano,149,3948.0,77.0,1.0
sano,149,3943.0,77.0,1.0
sano,150,5044.0,6150.0,1.0
sano,153,1777.0,1787.0,1.0
sano,155,3739.0,91.0,1.0
sano,156,4823.0,86.0,1.0
sano,159,1710.0,4639.0,1.0
sano,160,1497.0,3598.0,1.0
sano,160,214.0,3598.0,1.0
sano,161,3610.0,6108.0,1.0
sano,161,1730.0,3610.0,1.0
sano,162,5704.0,5706.0,1.0
sano,163,5049.0,5053.0,1.0
sano,163,5049.0,5051.0,1.0
sano,164,6156.0,6157.0,1.0
sano,164,5184.0,6157.0,1.0
sano,166,1583.0,4359.0,1.0
sano,166,1583.0,6243.0,1.0
sano,166,6243.0,6244.0,1.0
sano,168,1648.0,1651.0,1.0
sano,170,3603.0,5202.0,1.0
sano,172,4635.0,4636.0,1.0
sano,172,1446.0,4635.0,1.0
sano,174,1901.0,1903.0,1.0
sano,175,1800.0,3623.0,1.0
sano,175,3623.0,3624.0,1.0
sano,176,1714.0,4549.0,1.0
sano,179,5692.0,5693.0,1.0
sano,179,3787.0,5692.0,1.0
sano,179,3787.0,5691.0,1.0
sano,180,4407.0,5708.0,1.0
sano,181,5694.0,5695.0,1.0
sano,181,4021.0,5694.0,0.5833333333333334
sano,181,4021.0,5208.0,0.5833333333333334
sano,181,5208.0,5220.0,1.0
sano,181,5220.0,861.0,0.4166666666666667
sano,181,5694.0,861.0,0.4166666666666667
sano,183,5682.0,5683.0,1.0
sano,187,4542.0,5680.0,1.0
sano,188,1877.0,4563.0,1.0
sano,188,1875.0,4563.0,1.0
sano,190,4882.0,4884.0,1.0
sano,190,4882.0,4883.0,1.0
sano,191,5183.0,5190.0,1.0
sano,191,1577.0,5183.0,1.0
sano,198,6217.0,6218.0,1.0
sano,198,6215.0,6218.0,1.0
sano,199,1745.0,1751.0,1.0
sano,204,4534.0,5686.0,1.0
sano,205,1642.0,1643.0,1.0
sano,207,5684.0,6032.0,1.0
sano,209,4418.0,865.0,1.0
sano,209,865.0,866.0,1.0
sano,213,1628.0,4658.0,1.0
sano,216,3792.0,4673.0,1.0
sano,217,1467.0,1469.0,1.0
sano,220,5223.0,5227.0,1.0
sano,220,1442.0,5223.0,1.0
sano,220,5203.0,5223.0,1.0
sano,220,1425.0,1442.0,1.0
sano,220,5203.0,5209.0,1.0
sano,221,4356.0,5714.0,1.0
sano,222,1725.0,5772.0,1.0
sano,222,5772.0,5773.0,1.0
sano,223,4812.0,6227.0,1.0
sano,228,1523.0,6037.0,1.0
sano,229,1769.0,1770.0,1.0
sano,231,209.0,210.0,1.0
sano,239,1716.0,1727.0,1.0
sano,239,1705.0,1716.0,1.0
sano,242,6213.0,6214.0,1.0
sano,242,6214.0,6216.0,1.0
sano,242,4656.0,6216.0,1.0
