city,cluster,u,v,freq
sano,0,1461.0,3596.0,1.0
sano,0,1461.0,4637.0,1.0
sano,1,3605.0,6191.0,1.0
sano,1,6190.0,6191.0,1.0
sano,1,1593.0,6190.0,1.0
sano,2,1757.0,1759.0,1.0
sano,3,5500.0,5501.0,1.0
sano,3,1741.0,5501.0,1.0
sano,3,1741.0,4640.0,1.0
sano,4,6034.0,6035.0,1.0
sano,4,1473.0,6035.0,1.0
sano,4,1473.0,1483.0,1.0
sano,5,4836.0,4843.0,1.0
sano,5,4843.0,4849.0,1.0
sano,7,3725.0,4819.0,1.0
sano,10,4866.0,4869.0,1.0
sano,13,5049.0,5053.0,1.0
sano,13,5049.0,5051.0,1.0
sano,13,5043.0,5049.0,1.0
sano,14,4356.0,5714.0,1.0
sano,14,5714.0,5715.0,1.0
sano,15,4817.0,4824.0,0.75
sano,15,4817.0,4818.0,1.0
sano,15,4818.0,86.0,1.0
sano,15,4823.0,86.0,0.8333333333333334
sano,15,4823.0,4824.0,0.25
sano,15,4817.0,4823.0,0.16666666666666666
sano,16,1452.0,1458.0,1.0
sano,16,1452.0,4020.0,1.0
sano,16,4020.0,4788.0,1.0
sano,16,1456.0,4788.0,1.0
sano,17,4882.0,4883.0,1.0
sano,18,1496.0,3788.0,1.0
sano,18,213.0,3788.0,1.0
sano,18,3788.0,3789.0,1.0
sano,18,213.0,3599.0,0.75
sano,18,1496.0,3599.0,0.25
sano,19,1440.0,1444.0,1.0
sano,20,376.0,4352.0,1.0
sano,23,1412.0,5629.0,1.0
sano,23,1412.0,1421.0,1.0
sano,24,5011.0,5014.0,1.0
sano,25,1847.0,6272.0,1.0
sano,25,6272.0,6273.0,1.0
sano,26,1826.0,1831.0,1.0
sano,26,1831.0,1834.0,1.0
sano,27,5023.0,5024.0,1.0
sano,28,1720.0,1725.0,1.0
sano,28,1725.0,5772.0,1.0
sano,28,5772.0,5773.0,1.0
sano,29,1745.0,1751.0,1.0
sano,29,1740.0,1745.0,1.0
sano,29,1726.0,1740.0,1.0
sano,30,4811.0,4814.0,1.0
sano,31,6155.0,6158.0,1.0
sano,31,6155.0,6156.0,1.0
sano,32,3724.0,4825.0,1.0
sano,32,3723.0,3724.0,1.0
sano,33,4813.0,4816.0,1.0
sano,34,4888.0,4889.0,1.0
sano,35,4566.0,4567.0,1.0
sano,35,4565.0,4566.0,0.9166666666666666
sano,35,4564.0,4565.0,1.0
sano,35,4565.0,4568.0,1.0
sano,35,4564.0,4567.0,0.08333333333333333
sano,36,5506.0,876.0,1.0
sano,38,1565.0,1574.0,1.0
sano,38,1574.0,4679.0,1.0
sano,38,1585.0,4679.0,1.0
sano,39,3942.0,3944.0,1.0
sano,40,82.0,83.0,1.0
