city,cluster,pv_kwp,pen,gen_kwh_y,eloss_delta_kwh,capex_dg,npc_s2,npc_s3,delta_npc_s3
sano,0,331.05432638312163,0.9065058054216971,377004.6668850989,733.5702092869706,82763581.5957804,52023838.50655924,-54799990.5617204,107465085.54979256
sano,1,286.1694318194533,0.9265262015826656,325889.7489559934,390.43835909945756,71542357.95486332,20290096.71021141,-71909569.21281281,92492236.34972754
sano,2,292.1696955816442,0.9007490824339107,332722.8493283764,18661.80321033622,73042423.89541104,373222415.2244018,268535820.7448966,73024958.3892662
sano,3,366.5050913800762,0.9074186551190577,417375.9980636308,1218.7513303304659,91626272.84501904,65444263.13216803,-53053712.51396489,122547784.61744072
sano,4,366.3478109120672,0.8957401397808238,417196.88706666214,2336.160594181234,91586952.7280168,88839793.91964354,-30253348.73863861,126986373.31505617
sano,6,319.0054868203975,0.8524258852818823,363283.44839106867,974.4389530157287,79751371.70509937,56197788.36166769,-46892768.50344682,110039442.77610296
sano,7,307.32437495277316,0.8909817122443412,349980.9981962181,829.6258472384025,76831093.73819329,50587103.97336633,-48665493.62647107,100037279.31506845
sano,8,329.87640213525685,0.8681980540077662,375663.24675163056,2165.570133864301,82469100.5338142,99203310.56489588,-8069445.784744859,117814512.59223996
sano,9,92.26918348323684,0.8599917549395549,105076.14615071012,8.931549960360897,23067295.870809212,2387468.233245157,-27272746.857785095,29660215.09103025
sano,10,296.88721650279075,0.9021658707923893,338095.1621533781,2603.467481054133,74221804.12569769,104103206.05123876,7180032.947019368,114716564.05559996
sano,11,196.90168644242888,0.9527132575377942,224231.64052063803,569.0677797037774,49225421.61060722,35800674.39866496,-27811815.852839842,64066685.65559844
sano,12,263.0195132032479,0.9147567405389262,299526.6216358587,1540.5463549528613,65754878.30081198,59994959.17958315,-25429000.673573226,91053081.75008923
sano,13,157.7071089481451,0.9104462655638405,179596.85567014766,254.83382266337753,39426777.23703627,54623701.172961935,3789823.097624421,50833878.07533752
sano,14,342.6619776642448,0.9399642296237525,390223.46016404196,3341.5363960449868,85665494.4160612,106614807.43204172,-5446751.42251721,138107637.91374707
sano,15,133.06235884117393,0.829445478112031,151531.41424832886,155.11656679525777,33265589.710293483,47266565.37306574,4411063.610722542,42855501.76234319
sano,16,158.51900126285614,0.9483927098521788,180521.43863814056,6564.034429594605,39629750.31571403,231351752.66040653,176611041.3640766,-151585088.45659778
sano,17,739.1775582680533,0.8982451449400225,841775.4033556591,4651.505446531533,184794389.56701332,124047111.08121988,-116210421.44233054,271317780.2471663
sano,18,238.59015762209194,0.9057202777417995,271706.4715000383,1551.7821502946554,59647539.40552299,89185943.05621009,11607015.964517683,81388907.38974264
sano,19,402.75302375003724,0.8595112512991436,458655.14344654244,2986.260183364073,100688255.93750931,108396621.02590165,-22772726.35839519,147207687.94268286
sano,20,619.646476070769,0.9092952386376603,705653.4069493918,2299.919138074023,154911619.01769227,93791781.42581037,-106689890.83258057,219378700.05908847
sano,21,779.6179229728612,0.8384972733749617,887828.8906814944,11977.2967210575,194904480.7432153,197773051.95198095,-59715248.93759698,419038836.888147
sano,22,249.46023136756776,0.9006809463270681,284085.31148138613,514.0772989732832,62365057.84189194,38006944.166495904,-42465936.01542257,80472880.18191847
sano,23,267.65316968671414,0.8500935497868202,304803.4296392301,781.2132188691139,66913292.421678536,62076146.74379812,-24398261.85107276,86926377.87162536
sano,24,294.76913360074946,0.9060640224199783,335683.0893445335,593.7366779971244,73692283.40018736,61643024.33277395,-33438041.20424688,95349006.06696305
sano,26,266.9462045657314,0.8638998027040389,303998.3377594549,1126.274450102319,66736551.14143285,63009602.4162226,-23436989.886208773,88995942.17497697
sano,27,518.9900783831127,0.9350734499626635,591025.9012626888,14551.061246708094,129747519.59577818,219630258.17079777,44419707.680773616,355372976.5354503
sano,28,609.8560616776288,0.9462637002445698,694504.0830384836,9409.843337023587,152464015.4194072,142772894.96680295,-58670772.79437208,304638730.5910516
sano,29,347.710473378007,1.0692355031177827,395972.6870828744,1134.557844504955,86927618.34450175,80311212.81098902,-32097573.095142156,113914480.76572667
sano,30,154.76971276514575,0.8381049818098372,176251.74889694797,129.25122718851526,38692428.19128644,13429859.188667756,-36387377.75979398,49817236.948461734
sano,31,396.3855042086704,0.9137655733969969,451403.81219283387,7753.57025932242,99096376.0521676,172389322.0503681,40511595.24989948,211010517.7744874
sano,33,643.7889574560324,0.7700883241845251,733146.8647509298,2799.2449065891196,160947239.3640081,76441876.75698425,-132087665.56329846,224734699.05023915
sano,34,323.95774196640315,0.8321684922692957,368923.0765513399,1360.451403161007,80989435.49160078,104135308.24505971,-769954.1195432246,107939110.18436144
