city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,tld
yasu,0,4,79.5207061603966,47.71242369623796,12,12,26362322.752783284,26362322.752783284,16043861.89422551,99.0361845322562,0.02380824371655266,0.21275034635222373,26362322.752783284,0.21275034635222373,12,0.02380824371655266,26109271.20829097,0.021664444180144772,26109271.20829097,0,15858780.376794156,0.021664444180144772,97.89370602959355,0.09526162586590765,0.0,True,253051.54449230898,0.0
yasu,1,4,91.7431477677249,55.045888660634944,12,12,19366711.864444975,19366711.864444975,10835329.093107922,66.88474748832049,0.03443765647135803,0.10998572500484483,19366711.864444975,0.10998572500484483,12,0.03443765647135803,19366711.86444498,0.034437656471358026,19366711.86444498,0,10835329.09310792,0.034437656471358026,66.88474748832049,0.10998572500484483,0.0,True,0.0,0.0
yasu,2,3,314.0554681259399,188.43328087556395,12,12,32703730.158828434,32703730.158828434,20342894.19126728,125.57342093374864,0.3352566364647989,0.3896685009036577,32703730.158828434,0.3896685009036577,12,0.3352566364647989,32703730.158828434,0.335256636464799,32703730.158828434,0,20342894.19126728,0.335256636464799,125.57342093374865,0.3896685009036577,0.0,False,0.0,0.0
yasu,3,1,30.67555547790537,18.405333286743222,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,4,4,62.33168342159395,37.39901005295637,12,12,10387194.843965555,10387194.843965555,4205687.925349988,25.961036576234488,0.0055192008974258204,0.04476373869736677,10387194.843965555,0.04476373869736677,12,0.0055192008974258204,10229665.58019701,0.0052735451982465695,10229665.58019701,0,4089038.7037648913,0.0052735451982465695,25.240979652869697,0.034866663778205166,0.0,True,157529.26376854736,0.0
yasu,5,1,27.620554317825423,16.572332590695254,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,6,2,233.11408412556608,139.86845047533967,12,12,15677654.4648185,15677654.4648185,7935531.58112922,48.98476284647666,0.15644291630798965,0.28953482582986423,15677654.4648185,0.28953482582986423,12,0.15644291630798965,15677654.464818496,0.15644291630798962,15677654.464818496,0,7935531.58112922,0.15644291630798962,48.98476284647667,0.28953482582986423,0.0,False,0.0,0.0
yasu,7,1,21.374308200191344,12.824584920114805,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,8,3,100.9890070339071,60.593404220344254,12,12,16727788.503854455,16727788.503854455,8878401.435675533,54.804947133799594,0.03246973777320478,0.07565579431995789,16727788.503854455,0.07565579431995789,12,0.03246973777320478,16727788.503854457,0.03246973777320479,16727788.503854457,0,8878401.435675533,0.03246973777320479,54.80494713379959,0.07565579431995789,0.0,True,0.0,0.0
yasu,9,3,19.6232255326389,11.773935319583341,12,12,17356184.74382908,17356184.74382908,9386056.112685623,57.93861797954091,0.0012726988809077658,0.0276003173732718,17356184.74382908,0.0276003173732718,12,0.0012726988809077658,17356184.743829083,0.0012726988809077656,17356184.743829083,0,9386056.112685625,0.0012726988809077656,57.93861797954089,0.0276003173732718,0.0,True,0.0,0.0
yasu,10,2,97.6503937708639,58.590236262518346,12,12,12805571.961591288,12805571.961591288,5971965.373626928,36.86398378782054,0.027922600681628548,0.10611369037657936,12805571.961591288,0.10611369037657936,12,0.027922600681628548,12805571.961591288,0.027922600681628548,12805571.961591288,0,5971965.373626928,0.027922600681628548,36.863983787820544,0.10611369037657936,0.0,True,0.0,0.0
yasu,11,1,45.45848835477637,27.27509301286582,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,12,2,37.34442310642473,22.406653863854835,12,12,67092532.63132047,67092532.63132047,46296216.19961863,285.7791123433248,0.0174368504504725,0.23347566194379363,67092532.63132047,0.23347566194379363,12,0.0174368504504725,67092532.63132047,0.017436850450472503,67092532.63132047,0,46296216.19961862,0.017436850450472503,285.7791123433248,0.23347566194379363,0.0,True,0.0,0.0
yasu,13,3,147.20337860670827,88.32202716402495,12,12,37847257.714297235,37847257.714297235,24276330.25244542,149.85389044719392,0.2484972703899856,0.6038893164840461,37847257.714297235,0.6038893164840461,12,0.2484972703899856,37847257.714297235,0.24849727038998562,37847257.714297235,0,24276330.25244542,0.24849727038998562,149.85389044719395,0.6038893164840461,0.0,True,0.0,0.0
yasu,14,2,57.22237014535802,34.33342208721481,12,12,19907078.085728314,19907078.085728314,11278918.944418313,69.62295644702661,0.0022514610242673973,0.04140957751892213,19907078.085728314,0.04140957751892213,12,0.0022514610242673973,19907078.08572831,0.0022514610242673973,19907078.08572831,0,11278918.944418313,0.0022514610242673973,69.62295644702662,0.04140957751892213,0.0,True,0.0,0.0
yasu,15,3,49.99334450663701,29.996006703982204,12,12,17281995.2892867,17281995.2892867,9323914.535641639,57.555027997787896,0.006633479396839305,0.054648859333081126,17281995.2892867,0.054648859333081126,12,0.006633479396839305,17281995.2892867,0.006633479396839304,17281995.2892867,0,9323914.535641639,0.006633479396839304,57.555027997787896,0.054648859333081126,0.0,True,0.0,0.0
yasu,16,4,187.79871326185338,112.679227957112,12,12,66669083.825255744,66669083.825255744,44583522.363241106,275.206928168155,1.080270682680826,1.409623350614568,66669083.825255744,1.409623350614568,12,1.080270682680826,62603582.10197483,1.0050121060441939,62603582.10197483,0,41663718.74163925,1.0050121060441939,257.1834490224645,1.1192807226144634,0.0,True,4065501.7232809165,0.0
yasu,17,2,214.93507698551178,128.96104619130705,12,12,22104792.037005655,22104792.037005655,12641007.954741133,78.03091330087118,0.20733674237362135,0.42069159265964845,22104792.037005655,0.42069159265964845,12,0.20733674237362135,22104792.03700565,0.20733674237362135,22104792.03700565,0,12641007.954741133,0.20733674237362135,78.03091330087119,0.42069159265964845,0.0,True,0.0,0.0
yasu,18,3,298.49803677093837,179.09882206256302,12,12,89707680.16722362,89707680.16722362,59546193.90857256,367.5690982010653,2.710324657724161,3.2183437473353296,89645146.2506683,2.924794953282585,12,2.3461757532650864,89707680.16722362,2.710324657724161,89645146.25066832,0,59978834.12187097,2.3461757532650864,367.5690982010653,2.924794953282585,54.08002666229964,False,62533.916555300355,0.0
yasu,19,1,54.94957800031112,32.96974680018667,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,20,2,48.95561874735493,29.37337124841296,12,12,15777652.47583752,15777652.47583752,8207904.289473009,50.666075860944495,0.00585022329330983,0.0569425888854921,15777652.47583752,0.0569425888854921,12,0.00585022329330983,15777652.475837516,0.00585022329330983,15777652.475837516,0,8207904.289473009,0.00585022329330983,50.6660758609445,0.0569425888854921,0.0,True,0.0,0.0
yasu,21,3,107.21350051423111,64.32810030853867,12,12,46667891.71107852,46667891.71107852,30999848.533600103,191.3570897135809,0.1163829631772701,0.48992615811345097,46667891.71107852,0.48992615811345097,12,0.1163829631772701,46667891.71107851,0.11638296317727007,46667891.71107851,0,30999848.533600107,0.11638296317727007,191.3570897135809,0.48992615811345097,0.0,True,0.0,0.0
yasu,22,4,140.47033604471503,84.28220162682902,12,12,33252445.532183602,33252445.532183602,20908423.98737612,129.06434560108718,0.21509513805890565,0.49952147676898645,33252445.532183602,0.49952147676898645,12,0.21509513805890565,31969230.259530313,0.23159435453390906,31969230.259530313,0,19933873.839596387,0.23159435453390906,123.04860394812584,0.49952147676898645,0.0,True,1283215.2726532929,0.0
yasu,23,4,269.8681688289389,161.92090129736334,12,12,30146403.67857482,30146403.67857482,18413689.629334506,113.66475079836114,0.3582706043358202,0.4641530365466353,30146403.67857482,0.4641530365466353,12,0.3582706043358202,30146403.67857483,0.3582706043358202,30146403.67857483,0,18413689.629334502,0.3582706043358202,113.66475079836113,0.4641530365466353,0.0,False,0.0,0.0
yasu,24,2,170.3790368172793,102.2274220903676,12,12,11695835.263890205,11695835.263890205,5090687.244282463,31.423995335076928,0.07143872623425572,0.1567075441266886,11695835.263890205,0.1567075441266886,12,0.07143872623425572,11695835.263890203,0.07143872623425572,11695835.263890203,0,5090687.244282463,0.07143872623425572,31.423995335076928,0.1567075441266886,0.0,True,0.0,0.0
yasu,25,3,133.48951837338635,80.09371102403182,12,12,54086779.36035508,54086779.36035508,36533420.59770589,225.5149419611475,0.0975917606573898,0.23502766481848983,54086779.36035508,0.23502766481848983,12,0.0975917606573898,54086779.36035508,0.09759176065738981,54086779.36035508,0,36533420.59770589,0.09759176065738981,225.51494196114749,0.23502766481848983,0.0,True,0.0,0.0
yasu,26,3,40.14569737357921,24.087418424147526,12,12,18590662.984779987,18590662.984779987,10293299.461891415,63.53888556723097,0.008426114504323982,0.07088719750922615,18590662.984779987,0.07088719750922615,12,0.008426114504323982,18590662.984779987,0.008426114504323982,18590662.984779987,0,10293299.461891416,0.008426114504323982,63.53888556723096,0.07088719750922615,0.0,True,0.0,0.0
yasu,27,1,49.46394552865507,29.67836731719304,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,28,1,38.76669590726917,23.2600175443615,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,29,2,65.3921517546118,39.23529105276708,12,12,36045153.55285912,36045153.55285912,23216380.731056545,143.3109921670157,0.03704088852255977,0.2409754510171625,36045153.55285912,0.2409754510171625,12,0.03704088852255977,36045153.55285911,0.03704088852255977,36045153.55285911,0,23216380.73105655,0.03704088852255977,143.3109921670157,0.2409754510171625,0.0,True,0.0,0.0
yasu,30,4,181.91016981804924,109.14610189082954,12,12,33531500.500027295,33531500.500027295,21178537.710879836,130.73171426469034,0.16728187829231514,0.25261546447168015,33531500.500027295,0.25261546447168015,12,0.16728187829231514,33531500.50002729,0.16728187829231517,33531500.50002729,0,21178537.71087984,0.16728187829231517,130.73171426469037,0.25261546447168015,0.0,True,0.0,0.0
