city,cluster,u,v,freq
yasu,0,1615.0,1624.0,1.0
yasu,0,1623.0,1624.0,0.9166666666666666
yasu,0,1614.0,1623.0,1.0
yasu,0,1614.0,1615.0,0.08333333333333333
yasu,1,492.0,500.0,1.0
yasu,1,1434.0,492.0,1.0
yasu,1,497.0,500.0,1.0
yasu,2,2481.0,292.0,1.0
yasu,2,2481.0,2482.0,1.0
yasu,4,1842.0,527.0,0.75
yasu,4,1421.0,527.0,0.9166666666666666
yasu,4,1421.0,1841.0,1.0
yasu,4,1841.0,1842.0,0.3333333333333333
yasu,6,1726.0,260.0,1.0
yasu,8,1604.0,1607.0,1.0
yasu,8,1604.0,1605.0,1.0
yasu,9,1711.0,1742.0,1.0
yasu,9,1711.0,1746.0,1.0
yasu,10,1432.0,485.0,1.0
yasu,12,558.0,574.0,1.0
yasu,12,2523.0,558.0,1.0
yasu,12,2523.0,2526.0,1.0
yasu,13,259.0,277.0,1.0
yasu,13,2285.0,277.0,1.0
yasu,14,340.0,352.0,1.0
yasu,15,1422.0,461.0,1.0
yasu,15,458.0,461.0,1.0
yasu,16,365.0,375.0,0.6666666666666666
yasu,16,359.0,365.0,1.0
yasu,16,375.0,388.0,1.0
yasu,16,349.0,359.0,1.0
yasu,16,388.0,392.0,1.0
yasu,16,365.0,379.0,0.3333333333333333
yasu,16,379.0,392.0,0.3333333333333333
yasu,17,1956.0,1959.0,1.0
yasu,18,1921.0,2630.0,1.0
yasu,18,1921.0,480.0,1.0
yasu,20,1836.0,404.0,1.0
yasu,21,549.0,564.0,1.0
yasu,21,549.0,558.0,1.0
yasu,22,467.0,470.0,1.0
yasu,22,1439.0,470.0,1.0
yasu,22,1438.0,1439.0,0.8333333333333334
yasu,22,1438.0,461.0,0.16666666666666666
yasu,22,461.0,467.0,0.16666666666666666
yasu,23,1829.0,420.0,1.0
yasu,23,1829.0,428.0,1.0
yasu,23,1835.0,420.0,1.0
yasu,24,2097.0,373.0,1.0
yasu,25,318.0,323.0,1.0
yasu,25,2625.0,323.0,1.0
yasu,25,2625.0,316.0,1.0
yasu,25,306.0,316.0,1.0
yasu,26,1441.0,456.0,1.0
yasu,26,451.0,456.0,1.0
yasu,29,449.0,456.0,1.0
yasu,29,451.0,456.0,1.0
yasu,29,446.0,451.0,1.0
yasu,30,1424.0,548.0,1.0
yasu,30,1424.0,556.0,1.0
yasu,30,1844.0,556.0,1.0
yasu,31,490.0,499.0,1.0
yasu,33,1707.0,2119.0,0.8333333333333334
yasu,33,1707.0,264.0,1.0
yasu,33,2100.0,2119.0,0.8333333333333334
yasu,33,2100.0,290.0,0.8333333333333334
yasu,33,1747.0,264.0,1.0
yasu,33,1747.0,1748.0,1.0
yasu,33,1748.0,2517.0,1.0
yasu,33,264.0,288.0,0.16666666666666666
yasu,33,288.0,290.0,0.16666666666666666
yasu,34,1753.0,1759.0,1.0
yasu,35,1839.0,445.0,1.0
yasu,35,1839.0,1840.0,1.0
yasu,37,1655.0,1657.0,1.0
yasu,38,1620.0,1651.0,1.0
yasu,39,1290.0,366.0,1.0
yasu,40,2045.0,396.0,1.0
yasu,45,2487.0,2488.0,1.0
yasu,45,2488.0,343.0,1.0
yasu,45,2488.0,2489.0,1.0
yasu,45,2489.0,2490.0,1.0
yasu,46,1705.0,1706.0,1.0
yasu,46,1705.0,393.0,1.0
yasu,46,381.0,393.0,1.0
yasu,49,1640.0,1642.0,1.0
yasu,52,550.0,553.0,1.0
yasu,52,547.0,550.0,1.0
yasu,52,1843.0,553.0,1.0
yasu,52,541.0,547.0,1.0
yasu,52,1425.0,541.0,1.0
yasu,53,496.0,501.0,1.0
yasu,53,1430.0,501.0,1.0
yasu,54,2047.0,2048.0,1.0
yasu,54,2048.0,238.0,1.0
yasu,54,238.0,243.0,1.0
yasu,55,1723.0,1728.0,1.0
yasu,55,1721.0,1723.0,1.0
yasu,55,1714.0,1721.0,1.0
yasu,56,1610.0,443.0,1.0
yasu,57,1444.0,454.0,1.0
yasu,58,1600.0,1602.0,1.0
yasu,59,1966.0,2013.0,1.0
yasu,59,2013.0,613.0,1.0
yasu,59,2403.0,613.0,1.0
yasu,61,1435.0,1437.0,1.0
yasu,62,1611.0,1618.0,1.0
yasu,62,1609.0,1618.0,1.0
yasu,65,1643.0,1645.0,1.0
yasu,65,1637.0,1645.0,1.0
yasu,65,1635.0,1637.0,1.0
yasu,66,1442.0,457.0,1.0
yasu,67,1617.0,1763.0,1.0
yasu,67,1630.0,1763.0,1.0
yasu,68,1718.0,1724.0,1.0
yasu,68,1713.0,1718.0,1.0
yasu,68,1713.0,1720.0,1.0
yasu,70,493.0,495.0,1.0
yasu,71,387.0,390.0,1.0
yasu,72,1428.0,533.0,1.0
yasu,76,364.0,382.0,1.0
yasu,76,1292.0,364.0,1.0
yasu,76,1292.0,1837.0,1.0
yasu,78,462.0,464.0,1.0
yasu,78,1443.0,462.0,1.0
yasu,79,224.0,225.0,1.0
yasu,79,224.0,229.0,1.0
yasu,80,1713.0,1718.0,1.0
yasu,81,1631.0,1649.0,1.0
yasu,82,1696.0,1698.0,1.0
yasu,82,1698.0,1700.0,1.0
yasu,82,1696.0,1701.0,1.0
yasu,82,1685.0,1700.0,1.0
yasu,82,2077.0,425.0,1.0
yasu,82,2077.0,431.0,1.0
yasu,82,1701.0,2077.0,0.9166666666666666
yasu,82,2078.0,431.0,1.0
yasu,82,1685.0,1686.0,1.0
yasu,82,1686.0,2078.0,0.08333333333333333
yasu,83,1606.0,453.0,1.0
yasu,83,1458.0,1606.0,1.0
